Year,Stage,Rank,Country,Score
2015,Semi 1,1,Estonia,7923
2015,Semi 1,2,Belgium,7324
2015,Semi 1,3,Russia,6481
2015,Semi 1,4,Georgia,5830
2015,Semi 1,5,Albania,5034
2015,Semi 1,6,Serbia,4121
2015,Semi 1,7,Greece,3405
2015,Semi 1,8,Belarus,3280
2015,Semi 1,9,Romania,2248
2015,Semi 1,10,Moldova,2217
2015,Semi 1,11,Netherlands,2135
2015,Semi 1,12,North Macedonia,1703
2015,Semi 1,13,Armenia,1568
2015,Semi 1,14,Hungary,1556
2015,Semi 1,15,Denmark,1155
2015,Semi 1,16,Finland,402
2015,Semi 2,1,Sweden,6987
2015,Semi 2,2,Latvia,5956
2015,Semi 2,3,Norway,5831
2015,Semi 2,4,Israel,5064
2015,Semi 2,5,Slovenia,4657
2015,Semi 2,6,Montenegro,3391
2015,Semi 2,7,Azerbaijan,2860
2015,Semi 2,8,Ireland,2830
2015,Semi 2,9,Malta,2564
2015,Semi 2,10,Czechia,2061
2015,Semi 2,11,Iceland,1922
2015,Semi 2,12,Lithuania,1874
2015,Semi 2,13,Switzerland,1731
2015,Semi 2,14,Portugal,1278
2015,Semi 2,15,Poland,1063
2015,Semi 2,16,Cyprus,988
2015,Semi 2,17,San Marino,385
2015,Final,1,Sweden,4838
2015,Final,2,Estonia,4450
2015,Final,3,Belgium,4283
2015,Final,4,Latvia,3790
2015,Final,5,Italy,3622
2015,Final,6,Russia,3433
2015,Final,7,Norway,2923
2015,Final,8,Georgia,2686
2015,Final,9,Australia,2424
2015,Final,10,Israel,2328
2015,Final,11,Albania,1947
2015,Final,12,Slovenia,1760
2015,Final,13,Spain,1496
2015,Final,14,Montenegro,1273
2015,Final,15,Serbia,1204
2015,Final,16,Germany,1116
2015,Final,17,Greece,778
2015,Final,18,Azerbaijan,756
2015,Final,19,Romania,578
2015,Final,20,France,573
2015,Final,21,United Kingdom,404
2015,Final,22,Lithuania,392
2015,Final,23,Austria,376
2015,Final,24,Hungary,364
2015,Final,25,Armenia,363
2015,Final,26,Poland,290
2015,Final,27,Cyprus,27